"","Participant.Public.ID","Response","Object.Name","Spreadsheet..Audio"
"265","TEAM_YA_023",100,"Happy Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"266","TEAM_YA_023",0,"Disgusted Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"267","TEAM_YA_023",0,"Sad Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"268","TEAM_YA_023",65,"Proud Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"269","TEAM_YA_023",0,"Scared Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"270","TEAM_YA_023",90,"Joyful Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"271","TEAM_YA_023",0,"Anxious Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"272","TEAM_YA_023",90,"Relaxed Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"273","TEAM_YA_023",0,"Angry Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"274","TEAM_YA_023",60,"Excited Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"275","TEAM_YA_023",100,"Happy Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"276","TEAM_YA_023",0,"Disgusted Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"277","TEAM_YA_023",60,"Sad Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"278","TEAM_YA_023",80,"Proud Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"279","TEAM_YA_023",0,"Scared Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"280","TEAM_YA_023",100,"Joyful Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"281","TEAM_YA_023",75,"Anxious Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"282","TEAM_YA_023",0,"Relaxed Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"283","TEAM_YA_023",0,"Angry Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"284","TEAM_YA_023",100,"Excited Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"285","TEAM_YA_023",100,"Happy Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"286","TEAM_YA_023",0,"Disgusted Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"287","TEAM_YA_023",0,"Sad Slider","6_pieceB_anxious_calm_joyous_7.mp3"
